dialogue,label
"Yeah, fine, Dad.",1
Well... maybe I'll take just half a hit of acid.,1
"No, no, I'm asking if there's a listing for Broflovski in San Francisco! They just moved there!",0
"Haha! Take that, Jew boy! I guess you Heebs can't even play video football!",2
"You know Butters, you make for a lousy Jew.",2
"No, no! Don't apologize, you asshole!",2
"Oh crap, Ranger McFriendly.",0
Who?,2
The smug?,2
What is that?,0
George Clooney's acceptance speech?,0
What about San Francisco?,0
I'm gonna try and warn Kyle to get out of San Francisco.,0
I don't have a choice. Somebody has to get into San Francisco and warn Kyle's family to get out before the storm hits.,2
"You don't know San Francisco, Butters.  It was the breeding ground for the hippie movement in the 60s. Those hard-core liberals, lesbian activists, and die hard modern hippies young and old.  I swore I would never set foot in San Francisco. God help me.  All right, Butters, I'll be tethered to you through this cord. It's my only lifeline, so make sure it stays taut. If you stop hearing my voice, for the love of Christ, start reeling me in with all your strength.",2
"I'm not doin' it for Kyle.  I can't believe I'm actually going to walk through San Francisco. Well, here it goes.",2
Can't somebody else operate this? I can't really reach.,0
"Butters, are you there?!",2
I've started to enter the smug. I'm about a quarter mile in. Can you give me an EL?,2
Yes. It's just beyond yet another wine and cheese store.,2
Turning right at O two four niner.,2
"Butters?! Butters, I think I'm here! 2419 Castillo?!",2
"Mr. Broflovski! Mr. Broflovski, there a smug storm! We have to go!",2
Oh my CHRIST!  Kyle? Kyle!,2
"The acid. Dude, I'm totally tripping balls.",1
We have to get out of here! Now!  Kyle! Kyle!!,2
No...,0
Kyle!,0
Hey Stan.,1
"Dude, what happened??",0
"Dude, I'm so glad you're not dead.",0
NO! Hybrid cars are a good thing!,1
"Hybrid cars don't cause smugness, people do.  Look, hybrid cars are important. They may even save our planet one day. What you all need to do is just learn to drive hybrids and not be smug about it.",1
"Well, looks like you're back for good, huh Kyle?",2
"Yeah, I guess so.",1
"We just can't get rid of you, can we, you sneaky Jew rat!",2
"Don't belittle my people, you fucking fatass!",1
"Ah, that's better.",2
What?? What??,0
Kyle! What the hell is going on this time?!,0
I have no idea!,1
"Dad?  Dad, what the hell is going on?!",0
Sso?,0
"Oh come on, people. You really think anybody's gonna be that pissed off about a cartoon??",0
They censored the image of Mohammad? How?,0
I TIVO every episode. We can go to my house and see what they did.,1
"Okay you guys, check it out.",1
You TIVO every episode of Family Guy?,2
"Dude, it's a good show.",1
"Yeah, lots of people like Family Guy.",0
Yich.,2
"Hehaha, heh.",1
Yich.,2
That's it? That's all they did?,1
"Oh man, that's not cool! Seriously, that is not cool.",2
What? What's the big deal?,0
"What's the big deal? You guys, they just made fun of the religion of an entire group of people.  What, you guys think that's okay?! Do you care at all about people's feelings?!",2
"Since when you care about being sensitive to people's religion, Cartman?!",1
"Yeah, you rip on people's religion all the time!",0
"That's different! I'm just a little boy! That's a cartoon! Millions of people watch it! How would you feel, Kyle, if there was a cartoon on television that made fun of Jews all the time?! Huh?!",2
Uhhh...,1
"I'm telling you guys, it's wrong! It's WRONG!!  It's wrong!",2
"Dad, Dad, Jesus Christ!",1
"Mom, it was nothing. Mohammad just stood there and then drank some tea.",1
"No, Muslims can't show an image of Mohammad.",1
"Yeah, Kyle. Maybe you think this is funny, but the rest of us don't.",2
"Mrs. Garrison, that is ignorant and racist! Muslims are mad because of Family Guy, not because they can't jack off! Right, Wendy?",2
The hell's going on now?!,0
What?,2
Goddamned Family Guy! Now they're just provoking people! It's like they want a holy war!,2
Does this mean we don't have school all week?,0
"You guys, this is serious! We have to do something!",2
We have to go to the FOX network in L.A. We have to go and... try to get that episode pulled. You guys with me?,2
"Dude, we can't go anywhere. They've shut down the airports and the buses.",0
Then we'll ride our Big Wheels.,2
To Los Angeles?,0
"If that's what it takes, yes! We have to talk to the network! The Family Guy writers aren't gonna back down!",2
Well good for them. They shouldn't! The writers are standing up and saying they aren't going to be intimidated!,1
"Intimidated?! Is that what you think this is about, Kyle?",2
"All right dude, what the hell has gotten into you?! I don't trust for one second that your sudden concern for the Muslim people is real!",1
"All right, fine, Kyle. Forget the Muslim faith for a minute. People can get hurt. If ten people die because Family Guy just had to have their little joke, will you still think it's funny?  What if a hundred people died? Will it be funny then, Kyle?  I'm going to Los Angeles. I'm gonna do whatever I can to get that episode pulled before this gets out of hand. Somebody has to speak for the Muslim people. Somebody has to speak for what's right.",2
Dad? Are you sure there's time?,1
No!,1
Ike? Iiike!  Ike!,1
Ike!  This way!  Iiike!,1
Nooooo!,1
Come to try and stop me?!  It isn't gonna work.,2
"I didn't come to stop you. I... I think you're right, Cartman. I want to help you get the Family Guy episode pulled.",1
"Yeah well, I don't need a partner on this.  Especially one who doesn't trust me.",2
"Look, Cartman, I don't know what's gotten into you, but... I I think it's pretty amazing. And I think it's real. You have to understand why I didn't believe you before.",1
"Yeah. I do understand, Kyle. I've been doing the wrong things for a long time. Doing things for my own selfish reasons. I just wanna do something right, you know? Just this one time.",2
"It's a long trip, dude. You're gonna need help. We can try and get the episode pulled together.",1
You know we might not even make it into the studio.,2
"I know. But just like you, I feel like I have to try. People can really get hurt, and a joke just isn't worth that.",1
So what made you change your mind?,2
I got some sound advice... from an old friend.,1
"Well Kyle, we'd better get going.",2
Yeah!,1
Are you set?,2
I'm set! Let's do this!,1
"All right, let's roll!",2
"We got six days to make it to Los Angeles. If we keep our stops to a minimum, we should be able to get the episode pulled just in time.",1
"Yes, and in just a few weeks from now, Family Guy will be off the air forever.",2
Off the air? But... we're just going to try to get the Mohammad episode pulled.,1
"It's simple television economics, Kyle. All it takes to kill a show forever is get one episode pulled. If we convince the network to pull this episode for the sake of Muslims, then the Catholics can demand a show they don't like get pulled. And then people with disabilities can demand another show get pulled. And so on and so on, until Family Guy is no more! It's exactly what happened to Laverne & Shirley.",2
Whoa whoa wait a minute!  This isn't what I signed up for! I like Family Guy. Why do we have to get it off the air forever?,1
"Because they made f-fun of Muslims, and and that's wrong.",2
But that doesn't mean it has to go off the air. You should like that show. Your sense of humor is just like Family Guy.,1
"Don't you EVER, EVER, compare me to Family Guy! You hear me Kyle??!! Compare me to Family Guy again, and so help me I will kill you where you stand!",2
You unbelievable son of a bitch. You never cared about the Muslim religion. Or the safety of people in America. You just want Family Guy off the air!,1
"Do you have any idea what it's like?! Everywhere I go, ""Hey Cartman, you must like Family Guy, right?"" ""Hey, your sense of humor reminds me of Family Guy, Cartman.""  I am NOTHING like Family Guy! When I make jokes, they are inherent to a story! Deep, situational and emotional jokes based on what is relevant and has a POINT! Not just one interchangeable joke after another!!",2
What are you talking about?!,1
YOU DON'T UNDERSTAND!,2
I can't believe I let you scare me into taking your side. You used fear to make me stop believing in free speech.,1
Well... I guess you won't be helping me now. No biggie. I don't NEED you to get the episode pulled!,2
No!  I am NOT letting you go to that television studio and pretend... to care about safety and sensitivity to get a show you don't like off the air!,1
"Well then Kyle, I guess we- ...Oh my God, is that Tim McGraw?",2
What?  CARTMAN!,1
"Kyle, stop it!",2
Holy Crap!,2
Ahhh!,1
"Dad, I don't wanna bury my head in the sand.",0
"Dad, this is stupid.",0
No!  AAAAH!  AAAAH!,1
"Hahahaha! So long, Kyle!",2
You son of a bitch! I won't let you win! You hear me?!,1
"Suck mah balls, Kyle!",2
This... explains everything.,2
"Kyle, quit it! Stop it, Kyle!",2
I'm gonna do whatever I can... to get that episode pulled before this gets out of hand.,2
You just want Family Guy off the air...,1
"So long, Kyle!",2
You son of a bitch! I won't let you win!,1
"Ma'am, I need to speak to the president of this network right away.",2
"It's regarding Family Guy. I demand that the Mohammad episode be pulled before it airs tonight! It's incendiary, it's offensive to Muslims, and people can get hurt! It's wrong! It's WROOONG!",2
"Dude, can I go before you?",2
"What the hell is going on?  Hello?  Excuse me, I need to get to Los Angeles.  Hello?!",1
Who?,1
"So... you don't like Family Guy either, huh?",2
So what's your plan? You're gonna ask the president of the network nicely to take it off the air?,2
"Look, kid, if you hate a TV show, all you have to do is get an episode pulled. Pretty soon the show is compromised and it goes off the air.",2
Yes. So my plan is to use this whole Mohammad thing as a way to scare the network into pulling tonight's show. I'm going to use fear to get them to do what I want.,2
"...No, it isn't like terrorism. It IS terrorism.",2
This is manipulation at its highest lever; you should let me handle this.,2
Really? What's the worst thing you've ever done?,2
"Wow, that's pretty hardcore. Geez. That's like this one time, when I didn't like a kid, so I ground his parents up into chili and fed it to him.",2
Seeya.,2
"Hello, gentlemen, ladies. My name is little Danny Pocket. And I won't take much of your time. Please excuse my tiny crutch; it's the only way I can get around these days. Ow...",2
"You see, my father worked for a newspaper in my native country of Denmark. His newspaper showed an image of Mohammad and, two days later, terrorists suicides bombed his building. I was in the lobby when it happened.  First one terrorist suicide bombed us and, then dozens more. They just kept coming. Suicide bombers running in the building and blowing up one after another! They were like Mexican jumping beans. I just don't wanna see people here at your studio getting hurt, because... that would be, of course, your responsibility.  Ow..",2
I'll certainly do my best.  Ow.,2
"Yes, and then Family Guy is as good as dead.",2
"I I said ""thank you."" Thank you for listening.",2
Thanks a lot for the ride.,1
I'll do everything I can.,1
Excuse me.  Do you know which way the network president's office is?,1
"Look, my fat bastard friend is trying to trick the network into getting Family Guy off the air.",1
"Oh thanks, dude.",1
"Hello? This can't be right, I-  Ow!",1
"It won't take long, sir.  Ow...",2
"Yes, I'm totally excited. Family Guy is so funny.",2
Wha?  What are they?,2
"Family Guy is written by manatees?  Of course, it all makes sense now.",2
Waitwaitaminute waitaminute. These... manatees demanded that Mohammad be shown? How? Manatees don't talk!,2
"Oh... yes, yes. Um  hello, manatees. I, I think you should allow the network to pull your episode with Mohammad. See, I'm the victim of a, a terrorist attack and... terrorists might come after you if you-",2
Why not?,2
Son of a bitch.,2
"Let me out of here, kid! Why are you doing this?",1
Well well well!,2
Cartman!,1
"Hello, Kyle. Looks like you've run into a little snag in your plan as well.",2
You fat sun of a bitch!,1
"You came so close to stopping me, didn't you, Kyle. There was just one thing you didn't count on: that more people besides me hate Family Guy.",2
"Well, a lot of people like Family Guy too! Who are you to decide it shouldn't be on the air?!",1
"Not yet! But I've come up with a new plan. I've learned how to make the Family Guy writing staff stop working! As soon as everyone goes on their lunch break, I can sneak back in.",2
"Cartman, let me out of this stupid net!!",1
"Good, Kyle! That's good anger you're showin' there! See that?! That's emotional character development based on what's happening in the storyline! Not at all like Family Guy. Now, if you'll excuse me, Kyle,  I've got some idea balls to remove from a manatee tank.",2
WHAT?!,1
"Sir! Sir!  If you don't my saying, I think you asked for this. You gave in to the manatees last week. Now they know all they have to do is refuse to work and they can get whatever they want. You spoiled them by caving in. Now they thnk they can walk all over you.  Sir, you are in charge of this network, not them. Maybe it's time you showed them who's in charge.",2
I did it. I... AM... GOD!!!,2
"Family Guy is going off the air! No more Family Guy for me, mon frère!",2
Cartman!!  You fucking fatass!,1
How the hell did you get out?,2
That kid and I had a long talk! I told him he was on a slippery slope to becoming a monster like you!,1
"Aw, God damnit, you gave him one of your gay little speeches, didn't you?!",2
You are NOT KILLING FAMILY GUY!!,1
"You're too late, Kyle! The president of the network is pulling the episode! Family Guy is as good as dead!",2
There's still time to tell the network president you're full of CRAP!,1
I can't let you do that!,2
Get out of my way or I'll kick your ass!,1
"Fine, Kyle. I guess it was inevitable.  Let this be our final battle.  Ow. OW! Stop it! Kyle, that's too hard! Ah!  Ugh. Kyle! Stop it!",2
Ow. Quit it!,1
"Ow. Quit it, Kyle! Bleh. Kyle!",2
Stop it!,2
"Ow. Quit it, Kyle! Leh- Kyle! Let go- Okay okay come on, time out. Kyle, time out! Time out! Time out.  Time in!  I d-ow! Uh. Ah. Sh-gah. Okay. Okay. Time out! Kyle t-time out! Time out! Time out! Time out! Time out!",2
"No more timeouts, fatass!",1
"Time out! Time out! Time out, Kyle! Ay! Ay!",2
"Kyle! Kyle! Get the... Get the- Kyle! Kyle, dude, that was- that was in the balls! Dude, serious- seriously! That was in the balls! No hitting- No hitting in the balls!  Kyle!  Quit it, Kyle. Give it up, Kyle!  Okay... Okay! Okay okay!  You win! You win. I give up.  Hahaha! I had my fingers crossed.",2
"Thanks, kid.",1
Sir! Mister television executive! Stop!,1
Listen to me: the little boy who convinced you to pull the episode is a bastard child. He only wants you to pull it because he knows it will be the end of Family Guy forever!,1
Pulling an episode because someone is offended starts a chain reaction. You'll have to pull more and more episodes until the show goes off the air completely. It's what happened to Laverne & Shirley.,1
What manatees??!!,1
"Go ahead, Mr. President! Continue what you were doing!",2
"No! You have to show Mohammad, Mr. President!",1
"Sir, just think about what you're doing to free speech!",1
No! Think about the people who could get hurt!,2
"Okay, I'll make it easy for you.  Pull the Mohammad episode, now!",2
Noo! Wait! You can't listen to him! He's a lying deceitful monster who only wants Family Guy off the air!,1
You can't do what he wants just because he's the one threatening you with violence!,1
"Shut up, Kyle!",2
"Yes, people can get hurt. That's how terrorism works. But if you give into that, Doug, you're allowing terrorism to work. Do the right thing here.",1
"Give the orders to pull the episode, Mr. President!",2
"Do the right thing, Mr. President.",1
"I wish that was good enough, but if you censor out Mohammad, then soon you'll have to censor out more.",1
"No gay speeches, Kyle!",2
"If you don't show Mohammad, then you've made a distinction what is okay to poke fun at, and what isn't. Either it's all okay, or none of it is.",1
Do the right thing. Show Mohammad.  Do. The right. Thing.,1
Yes!,1
"No! No, I hate Family Guy!!",2
Dick Cheney?,1
Who?,0
ManBearPig?,1
"Check out this sweet move.  Kyle, you can't block like that.",2
"Just play the game, fatass!",1
"Pass it to me, Cartman?",0
"Hang on. I'm going to do something killer.  God damnit, stop it, Kyle!",2
"All right, check it out. This is a total Kobe Bryant I'm about to do.",2
"Just take a shot or pass the ball, asshole! It's getting late!",1
"Let's just see who gets the ball this time, Jewboy!  Kyle, knock it off!",2
"Cartman, stop hogging the goddamned ball!",0
We know.,1
"Oh, hey Dad.",0
"Okay, Mr. Marsh.",1
"Aw, he's all right, Dad. He was just trying to warn us about ManBearPig.",0
He's half man and half bearpig,1
"No, dude, he's half man and half bear and half pig.",2
That doesn't make any sense.,1
"He could be half bear, half manpig.",0
"But I feel kind of bad for him, Dad. I don't think he has any friends.",0
Hello?,0
Oh man... Hi Mr. Gore.,0
I know.,0
"Eh look, I'm sorry but, we're all kind of busy.",0
"No, no, it's not that.",0
"Ih it's okay, Mr. Gore, I, I believe you.",0
"Yeah, I'm sure ManBearPig needs to be stopped. I'm just... I'm just scared that I can't do anything to stop him.",0
"...Yes, I'm serial.",0
"Dude, why are we going to hang out with this guy?",2
"Come on, you guys, Al Gore doesn't have any friends. We'll just make an appearance at his little meeting and then we'll go.",0
"Yyeah, you know, Mr. Gore, uh, my dad's a geologist, and he said that ManBearPig probably isn't in Colorado.",0
NO.,0
"Well, this was a great meeting. Wasn't it, guys? But, we gotta get goin' to school now.",0
"Yeah, that's Cave of the Winds. It's a tourist attraction.",1
"Ah I don't think so, dude.",2
"Yeah, we've got school anyway.",1
You... have that kind of power?,2
What do ManBearPig droppings look like?,1
What?,1
"Mr. Gore, I I think we should stay with the tour group.",0
What are you doing?!,1
Oh no!,0
Hello?,1
Help!,0
We're trapped in here!,1
Somebody get us some help down hyah!,2
"Hello, help!",1
Hello??,2
Forget it! They can't hear us!,1
"You'd better get us out of here, asshole!",2
Me??,0
You just had to go and be nice to Al Gore! Now we're trapped in a cave!,2
Maybe there's another way out of here.,0
"A-all right, let's split up and look for a passageway. E-everyone take a different direction.  Oh man, we're in big trouble here.",1
This is... bullcrap! If I'm thin- I'm gonna be so... pissed off!  Goddammit!,2
"You see anything, Kenny??",1
"Cartman?? Cartman, you see anything??",1
"No, nothing  No, nothing here! Nothing this way!  Tr... treasure.",2
"Cartman, you okay??  You need help??",1
I'm fine! This way is just a... dead end! Coming back to you now!,2
It looks like we're completely sealed in.,1
"There's a small passageway about 200 yards over there, but... it goes for a long long way and it's pretty steep.",0
Maybe we should go for it.,1
"You guys go on ahead. I'm gonna... stay here, wait it out.",2
Why?,1
"I just... I I don't feel very good. I'll just wa-, I'll just weigh you guys down.",2
Cartman's right. First rule of survival is stay put and wait to be rescued.,0
"No, it's okay. You guys go on ahead.",2
"No, we'll stay here too. If we start wandering off, we're gonna get lost or killed. Let's just wait here and hope help comes soon.",1
That's cool. I just... I just wouldn't go over there  if I were you guys. I just took a huge dump.,2
"Aw, dude!",1
I'm sooo hungry. Do you think people even know we're here?,0
"They saw us on the tour.  Dude, where do you keep going, Cartman?",1
"I just... n-need to keep taking a crap. I got diarrhea, really bad.",2
"Dude, it's bad enough we have to sit here without you taking a crap every ten minutes!",1
Let's just try to sleep. Maybe help will come tomorrow.,0
"All that treasure.  It's all mine!  So long as these greedy assholes don't find out about it!  You would all just looove to get your hands on my treasure, wouldn't you?! Even though I found it, you'd love to think it's somehow yours, too! God, I hate you guys!  Especially you, you money-grubbing snake in the grass!  Well I have news for you, Kyle! You're never going to get my treasure. I've got a little plan going, to get the treasure out of here without you ever knowing.",2
C-Cartman?,1
Oh. Hey Kyle. How's it goin'?,2
"Dude, what are you doing?",1
"Not much. You know, just hangin' out. How've you been, man? Good?",2
"Dude, get away from me!",1
"Yeah. It's nice talking with you, Kyle. See you around.",2
All right. Gotta be strong.  There's still a lot more treasure to go.,2
"Dude, he's really sick.",0
"Stan! Stan, wake up!",1
Huh? What? Have they come for us?,0
"No, it's Cartman. Something's really wrong with him.",1
"Meh, meuh urgh.  Mbeuh.",2
"Oh my God.  Cartman? Dude, can you hear me?",0
I'm fahn. Just a lit-  No big deal.  Beh.,2
"We can't wait here any longer! Dude, we've gotta get him out of here or he's gonna die.",1
"How, dude? We c- we don't even know if that passage I found goes anywhere.",0
Maybe we should get out first. See if we can find a way out and then come back for him.,1
"NO DON'T! Don't leave me here, you assholes. Don't leave me here to die.",2
Come on come on! Pull!,1
"Goddamnit, he's soo heavy!",0
Buh. Hurry you guys. You gotta get me out of here.,2
What the hell is that??,1
Cartman?,0
"You guys, we've got no time! You gotta get me out!!",2
"I can't keep carrying him, dude! I've got no strength!",0
Yes you do!,2
What the hell is that?  Oh my God.,1
"No! Let me out of here! Let me out of here, you guys!",2
Ruuun!,1
"Kenny! Here, take my hand!  Hurry Kyle, the water's rising!",0
Grab my hand.,2
Car... Cartman! You've gotta swim! Kick with your legs!,1
I can't kick!,2
Yes you can!,1
I can't! Kick yourself back to safety!,2
I need your help!,1
"No, you just have to save me.",2
Kyle! No!,0
Agh.,0
"Just stay away from us, asshole! I was nice to you because I felt sorry for you, because you don't have any friends! But now I see WHY you don't have any friends! You just used ManBearPig as a way to get attention for yourself because you're a LOSER!!",0
We need to get our friend to a hospital right away!,1
"No! No I'm fine!  I just need to get home, a-and rest.",2
"Cartman, seriously, you need to see a doctor.",0
Noo! I just need to get to a toilet. See you guys. I...  habbeh... HABBEHHHHHHHHHH!,2
"Dude, did Cartman just crap treasure?",1
"It's mine! It's mine, you hear me?! I got it out of the cave; it belongs to me! Keep your greedy hands away!",2
"That's right, and I...  Fake treasure?",2
Noo... NOOO!!  NOO! OW!,2
You made us pull you to safety because you ate treasure?! You son of a bitch!,1
"Don't you think I'm hurting enough, Kyle?! Ah, ow!!  Dowww!",2
Eh!,2
I'm sorry I handcuffed Billy Turner's ankle to the school flagpole.,2
"Okay, I'm sorry I handcuffed Billy Turner's ankle to a flagpole and then gave him a hacksaw. And then told him I had poisoned his lunch milk and that the only way he could get to the antidote in time would be to saw through his leg.",2
Well he called me chubby!,2
"Well nice goin', asshole! You made my mom cry!",2
Sure you do. You're a great mom.Who's got the greatest mom in the world?I dooo.My mom is number one in my heart.It's true!,2
"Mom, I need another energy drink!",2
Wir müssen die Juden ausrotten!!,2
"Mom, are you deaf?! Somebody's at the door!",2
Killer. I'm gonna be on TV now.,2
"Mom, I want a Twinkie.",2
Ha! Hahahahahaha,2
"No thanks, I'd rather naught.",2
The hell do you think you're doing?,2
"Stop trying to bogart my Xbox, you fat bitch!",2
Time out?,2
And what exactly keeps me on the stool?,2
"Whoa, how did I do that?",2
"Ummm, no?",2
"All right, seriously, you're starting to piss me off now.",2
I'm just gonna get down as soon as you move.,2
Don't stop believing. Hold on to that feeling.,2
Because you took my Xbox.,2
"Well, yeah.",2
Yeah. I guess so.,2
"Well, I'm feeling confused, because I don't understand why you became a nanny.",2
"Right, but... if you love children so much, how come you're not a mommy?",2
"You're sterile, is that it?  No, that's too convenient of an excuse. The truth is, nobody ever wanted to have babies with you. Isn't that it?  Always the mom's maid and never the mom? Must be hard on you, knowing that the years are ticking away, your friends all getting married and all the while your uterus is slowly shriveling away, drying up, becoming totally worthless.",2
"Yes, let the anger come! Strike me down while you can! But it won't make your dried-up ovaries any more fertile!",2
"You can stop talkin' behind my back; I'm right here, fruitcake.",2
Not interested I'm me?,2
"Yeah, well I don't see why-",2
Hey!,2
"Mom, this guy doesn't-",2
Ah! Quit it!,2
"Look, Mexican, if you really think that you can-",2
KNOCK IT OFF!,2
I'm not fat!,2
"Ey! You think this is funny, you sonofabitch?",2
"Mom, this is degrading!",2
Agh! Goddamnit! Aaarrgh!,2
Maaaa. Mommm.  Mommm.,2
"Mom, seriously, people are seeing me!",2
"Mom, don't you love me? Can't you see I'm unhappy right now?",2
