dialogue,label
Maybe. Joey: Wait. Your 'not a real date' tonight is with Paul the Wine Guy?,0
He finally asked you out?,4
Yes!,0
"Ooh, this is a Dear Diary moment.",2
"Rach, wait, I can cancel...",0
"Please, no, go, that'd be fine!",5
"Are, are you okay? I mean, do you want me to stay?",0
That'd be good...,4
Really?,0
"No, go on! It's Paul the Wine Guy!",4
"What does that mean? Does he sell it, drink it, or just complain a lot?",3
"Hi, come in! Paul, this is.. ... everybody, everybody, this is Paul.",0
"I'm sorry, I didn't catch your name. Paul, was it?",2
"Okay, umm-umm, I'll just--I'll be right back, I just gotta go ah, go ah...",0
A wandering?,4
"Change! Okay, sit down. Two seconds.",0
"Ooh, I just pulled out four eyelashes. That can't be good.",3
"Hey, Paul!",1
"Here's a little tip, she really likes it when you rub her neck in the same spot over and over and over again until it starts to get a little red.",1
"Shut up, Joey!",0
"So Rachel, what're you, uh... what're you up to tonight?",4
"Well, I was kinda supposed to be headed for Aruba on my honeymoon, so nothing!",5
"Right, you're not even getting your honeymoon, God.. No, no, although, Aruba, this time of year... talk about your- -big lizards... Anyway, if you don't feel like being alone tonight, Joey and Chandler are coming over to help me put together my new furniture.",4
"Yes, and we're very excited about it.",2
"Well actually thanks, but I think I'm just gonna hang out here tonight. It's been kinda a long day.",5
"Okay, sure.",4
"Hey Pheebs, you wanna help?",1
"Oh, I wish I could, but I don't want to.",3
"Love is sweet as summer showers, love is a wondrous work of art, but your love oh your love, your love...is like a giant pigeon...crapping on my heart. La-la-la-la-la- Thank you. La-la-la-la...ohhh!",3
"I'm supposed to attach a brackety thing to the side things, using a bunch of these little worm guys. I have no brackety thing, I see no whim guys whatsoever and- I cannot feel my legs.",4
I'm thinking we've got a bookcase here.,1
It's a beautiful thing.,2
What's this?,1
I would have to say that is an 'L'-shaped bracket.,2
Which goes where?,1
I have no idea.,2
Done with the bookcase!,1
All finished!,2
"This was Carol's favorite beer. She always drank it out of the can, I should have known.",4
"Hey-hey-hey-hey, if you're gonna start with that stuff we're outta here.",1
"Yes, please don't spoil all this fun.",2
"Ross, let me ask you a question. She got the furniture, the stereo, the good TV- what did you get?",1
You guys.,4
"Oh, God.",2
You got screwed.,1
Oh my God!,2
Oh my God!,0
"My brother's going through that right now, he's such a mess. How did you get through it?",0
-leg?,0
"You actually broke her watch? Wow! The worst thing I ever did was, I-I shredded by boyfriend's favorite bath towel.",0
That's right.,0
"Barry, I'm sorry... I am so sorry... I know you probably think that this is all about what I said the other day about you making love with your socks on, but it isn't... it isn't, it's about me, and I ju- Hi, machine cut me off again... anyway...look, look, I know that some girl is going to be incredibly lucky to become Mrs. Barry Finkel, but it isn't me, it's not me. And not that I have any idea who me is right now, but you just have to give me a chance too...",5
I'm divorced! I'm only 26 and I'm divorced!,4
Shut up!,1
You must stop!,2
That only took me an hour.,4
"Look, Ross, you gotta understand, between us we haven't had a relationship that has lasted longer than a Mento. You, however have had the love of a woman for four years. Four years of closeness and sharing at the end of which she ripped your heart out, and that is why we don't do it! I don't think that was my point!",2
"You know what the scariest part is? What if there's only one woman for everybody, y'know? I mean what if you get one woman- and that's it? Unfortunately in my case, there was only one woman- for her...",4
"What are you talking about? 'One woman'? That's like saying there's only one flavor of ice cream for you. Lemme tell you something, Ross. There's lots of flavors out there. There's Rocky Road, and Cookie Dough, and Bing! Cherry Vanilla. You could get 'em with Jimmies, or nuts, or whipped cream! This is the best thing that ever happened to you! You got married, you were, like, what, eight? Welcome back to the world! Grab a spoon!",1
I honestly don't know if I'm hungry or horny.,4
Stay out of my freezer!,2
"What?..... What, you wanna spell it out with noodles?",0
"Oh, so there is gonna be a fifth date?",0
"Yeah... yeah, I think there is. -What were you gonna say?",0
"Oh God, oh God, I am sorry... I am so sorry...",0
I know being spit on is probably not what you need right now. Um... how long?,0
Wow! I'm-I'm-I'm glad you smashed her watch!,0
"...Yeah. Yeah, I do.",0
Oh...see... but Joanne loved Chachi! That's the difference!,5
"Grab a spoon. Do you know how long it's been since I've grabbed a spoon? Do the words 'Billy, don't be a hero' mean anything to you?",4
"Great story! But, I uh, I gotta go, I got a date with Andrea--Angela--Andrea... Oh man,",1
"Angela's the screamer, Andrea has cats.",2
Right. Thanks. It's June. I'm outta here.,1
"Y'know, here's the thing. Even if I could get it together enough to- to ask a woman out,... who am I gonna ask?",4
"Isn't this amazing? I mean, I have never made coffee before in my entire life.",5
That is amazing.,2
Congratulations.,1
"Y'know, I figure if I can make coffee, there isn't anything I can't do.",5
"If can invade Poland, there isn't anything I can't do.",2
"Listen, while you're on a roll, if you feel like you gotta make like a Western omelet or something... Although actually I'm really not that hungry...",1
"Oh good, Lenny and Squigy are here.",0
"Morning, Paul.",1
"Hello, Paul.",5
"Hi, Paul, is it?",2
Stop!,0
We'll talk later.,0
That wasn't a real date?! What the hell do you do on a real date?,1
"Shut up, and put my table back.",0
"All right, kids, I gotta get to work. If I don't input those numbers,... it doesn't make much of a difference...",2
"So, like, you guys all have jobs?",5
"Yeah, we all have jobs. See, that's how we buy stuff.",0
"Yeah, I'm an actor.",1
Wow! Would I have seen you in anything?,5
I doubt it. Mostly regional work.,1
"Oh wait, wait, unless you happened to catch the Reruns' production of Pinocchio, at the little theater in the park.",0
"Look, it was a job all right?",1
"'Look, Gippetto, I'm a real live boy.'",2
I will not take this abuse.,1
"You're right, I'm sorry. ""Once I was a wooden boy, a little wooden boy...""",2
"You should both know, that he's a dead man. Oh, Chandler?",1
So how you doing today? Did you sleep okay? Talk to Barry? I can't stop smiling.,0
I can see that. You look like you slept with a hanger in your mouth.,5
"I know, he's just so, so... Do you remember you and Tony DeMarco?",0
"Oh, yeah.",5
"Well, it's like that. With feelings.",0
Oh wow. Are you in trouble.,5
Big time!,0
Want a wedding dress? Hardly used.,5
"I think we are getting a little ahead of selves here. Okay. Okay. I am just going to get up, go to work and not think about him all day. Or else I'm just gonna get up and go to work.",0
"Oh, look, wish me luck!",5
What for?,0
I'm gonna go get one of those job things.,5
"Hey Frannie, welcome back! How was Florida?",0
How do you do that?,0
You know Paul?,0
You mean you know Paul like I know Paul?,0
Of course it was a line!,1
"Why?! Why? Why, why would anybody do something like that?",0
I assume we're looking for an answer more sophisticated than 'to get you into bed'.,4
I hate men! I hate men!,0
"Oh no, don't hate, you don't want to put that out into the universe.",3
Is it me? Is it like I have some sort of beacon that only dogs and men with severe emotional problems can hear?,0
"All right, c'mere, gimme your feet.",3
"I just thought he was nice, y'know?",0
I can't believe you didn't know it was a line!,1
Guess what?,5
You got a job?,4
Are you kidding? I'm trained for nothing! I was laughed out of twelve interviews today.,5
And yet you're surprisingly upbeat.,2
"You would be too if you found John and David boots on sale, fifty percent off!",5
"Oh, how well you know me...",2
"They're my new 'I don't need a job, I don't need my parents, I've got great boots' boots!",5
How'd you pay for them?,0
"Uh, credit card.",5
And who pays for that?,0
Um... my... father.,5
"Oh God, come on you guys, is this really necessary? I mean, I can stop charging anytime I want.",5
"C'mon, you can't live off your parents your whole life.",0
I know that. That's why I was getting married.,5
"Give her a break, it's hard being on your own for the first time.",3
Thank you.,5
"You're welcome. I remember when I first came to this city. I was fourteen. My mom had just killed herself and my step-dad was back in prison, and I got here, and I didn't know anybody. And I ended up living with this albino guy who was, like, cleaning windshields outside port authority, and then he killed himself, and then I found aromatherapy. So believe me, I know exactly how you feel.",3
The word you're looking for is 'Anyway'...,4
"All right, you ready?",0
"No. No, no, I'm not ready! How can I be ready? ""Hey, Rach! You ready to jump out the airplane without your parachute?"" Come on, I can't do this!",5
"You can, I know you can!",0
I don't think so.,5
"Come on, you made coffee! You can do anything!",4
"C'mon, cut. Cut, cut, cut,...",4
Y'know what? I think we can just leave it at that. It's kinda like a symbolic gesture...,5
Rachel! That was a library card!,0
"Y'know, if you listen closely, you can hear a thousand retailers scream.",2
Welcome to the real world! It sucks. You're gonna love it!,0
"Well, that's it You gonna crash on the couch?",0
"No. No, I gotta go home sometime.",4
You be okay?,0
Yeah.,4
"Hey Mon, look what I just found on the floor. What?",5
"That's Paul's watch. You just put it back where you found it. Oh boy. Alright. Goodnight, everybody.",0
Goodnight.,5
"Mmm. Oh, no-",4
Sorry-,5
"No no no, go-",4
"No, you have it, really, I don't want it-",5
Split it?,4
Okay.,5
"Okay. You know you probably didn't know this, but back in high school, I had a, um, major crush on you.",4
I knew.,5
You did! Oh.... I always figured you just thought I was Monica's geeky older brother.,4
I did.,5
"Oh. Listen, do you think- and try not to let my intense vulnerability become any kind of a factor here- but do you think it would be okay if I asked you out? Sometime? Maybe?",4
"Yeah, maybe...",5
"Okay... okay, maybe I will...",4
Goodnight.,5
Goodnight.,4
"See ya.... Waitwait, what's with you?",0
I just grabbed a spoon.,4
I can't believe what I'm hearing here.,1
I can't believe what I'm hearing here...,3
What? I-I said you had a-,0
What I said you had...,3
Would you stop?,0
"Oh, was I doing it again?",3
"I said that you had a nice butt, it's just not a great butt.",0
"Oh, you wouldn't know a great butt if it came up and bit ya.",1
There's an image.,4
Would anybody like more coffee?,5
"Did you make it, or are you just serving it?",2
I'm just serving it.,5
"Kids, new dream... I'm in Las Vegas.",2
"Ugh. Excuse me, could you give this to that guy over there? Go ahead. Thank you. Sorry. Okay, Las Vegas.",5
"Okay, so, I'm in Las Vegas... I'm Liza Minelli-",2
"What you guys don't understand is, for us, kissing is as important as any part of it.",0
"Yeah, right!.......Y'serious?",1
"Oh, yeah!",3
Everything you need to know is in that first kiss.,5
Absolutely.,0
"Yeah, I think for us, kissing is pretty much like an opening act, y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd comes out.",2
"Yeah, and-and it's not that we don't like the comedian, it's that-that... that's not why we bought the ticket.",4
"The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake.",2
"Yeah, well, word of advice: Bring back the comedian. Otherwise next time you're gonna find yourself sitting at home, listening to that album alone.",5
....Are we still talking about sex?,1
"No, it's good, it is good, it's just that- mm- doesn't she seem a little angry?",4
Does she.,4
"Marsha, these are cave people. Okay? They have issues like 'Gee, that glacier's getting kinda close.' See?",4
No. No.,4
"Okay, okay, yes, it is. How about I'll, uh, catch up with you in the Ice Age.",4
Hi.,4
"You look great. I, uh... I hate that.",4
"Ah, well, in here, anyone who... stands erect... So what's new? Still, uh...",4
"Well... you never know. How's, um.. how's the family?",4
"Why- why are you here, Carol?",4
Pregnant?!,4
"Oh, I think this is the episode of Three's Company where there's some kind of misunderstanding.",2
...Then I've already seen this one!,3
Are you through with that?,0
"Yeah, sorry, the swallowing slowed me down.",1
Whose little ball of paper is this?!,0
"Oh, uh, that would be mine. See, I wrote a note to myself, and then I realised I didn't need it, so I balled it up and... ...now I wish I was dead.",2
"She's already fluffed that pillow... Monica, you know, you've already fluffed that- -but, it's fine!",3
"Look , I'm sorry, guys, I just don't wanna give them any more ammunition than they already have.",0
"Yes, and we all know how cruel a parent can be about the flatness of a child's pillow.",2
"Monica- Hi! Um, Monica, you're scaring me. I mean, you're like, you're like all chaotic and twirly. And not-not in a good way.",3
"Yeah, calm down. You don't see Ross getting all chaotic and twirly every time they come.",1
"That's because as far as my parents are concerned, Ross can do no wrong. Y'see, he's the Prince. Apparently they had some big ceremony before I was born.",0
"Ew, ew, ew, ew ew ew ew ew!",2
What?,0
Ugly Naked Guy got a Thighmaster!,2
Has anybody seen my engagement ring?,5
"Yeah, it's beautiful.",3
"Oh God, oh God, oh God oh God oh God oh God....",5
"No, look, don't touch that!",3
"Oh, like I wasn't dreading tomorrow enough, having to give it back to him... 'Hi Barry! Remember me? I'm the girl in the veil who stomped on your heart in front of your entire family!' Oh God and now I'm gonna have to return the ring, without the ring, which makes it so much harder...",5
"Easy Rach, we'll find it. Won't we!",0
Oh! Yeah!,2
"Alright, when'd'ya have it on last?",1
Doy! Probably right before she lost it!,3
You don't get a lot of 'doy' these days...,2
"I know I had it this morning, and I know I had it when I was in the kitchen with...",5
...Dinah?,2
"Ohhhhh, don't be mad...",5
You didn't.,0
"Oh, I am sorry...",5
I gave you one job!,0
"Oh, but look how straight those noodles are!",5
"Now, Monica, you know that's not how you look for an engagement ring in a lasagne...",2
I just... can't do it.,0
Boys? We're going in.,2
.....Hi.,4
Wow. That is not a happy hi.,0
Carol's pregnant.,4
Ooh! I found it!,3
W-w-wh-... wha-... w-w-w-...,0
"Yeah. Do that for another two hours, you might be where I am right about now.",4
"Kinda puts that whole pillow thing in perspective, huh, Mon?",2
"Well now, how-how do you fit into this whole thing?",5
"Well, Carol says she and Susan want me to be involved, but if I'm not comfortable with it, I don't have to be involved.. basically it's entirely up to me.",4
She is so great! I miss her.,3
What does she mean by 'involved'?,0
"I mean presumably, the biggest part of your job is done.",2
"Anyway, they want me to go down to this- sonogram thing with them tomorrow.",4
So what are you gonna do?,5
"I have no idea. No matter what I do, though, I'm still gonna be a father.",4
".....Well, this is still ruined, right?",1
Curry.,0
"I- I think they're great! I, I really do.",4
"Do you remember the Ludwins? The big one had a thing for you, didn't she?",4
"Aw, Mom...",4
"I'm sorry, why is this girl going to call me?",0
"No Mom, I don't have a restaurant, I work in a restaurant.",0
"Ross, could you come and help me with the spaghetti, please?",0
Yeah.,4
"I know this is going to sound unbelievably selfish, but, were you planning on bringing up the whole baby/lesbian thing? Because I think it might take some of the heat off me.",0
I'm not gonna tell you what they spent on that wedding... but forty thousand dollars is a lot of money!,4
What's that supposed to mean?,0
No it's not.,0
"Don't listen to your mother. You're independent, and you always have been! Even when you were a kid... and you were chubby, and you had no friends, you were just fine! And you would read alone in your room, and your puzzles...",4
"Look, there are people like Ross who need to shoot for the stars, with his museum, and his papers getting published. Other people are satisfied with staying where they are- I'm telling you, these are the people who never get cancer.",4
"...And I read about these women trying to have it all, and I thank God 'Our Little Harmonica' doesn't seem to have that problem.",4
"So, Ross, what's going on with you? Any stories? No news, no little anecdotes to share with the folks?",0
"Okay! Okay. Look, I, uh- I realise you guys have been wondering what exactly happened between Carol and me, and, so, well, here's the deal. Carol's a lesbian. She's living with a woman named Susan. She's pregnant with my child, and she and Susan are going to raise the baby.",4
"Your folks are really that bad, huh?",1
"Well, y'know, these people are pros. They know what they're doing, they take their time, they get the job done.",4
"Boy, I know they say you can't change your parents,... boy, if you could- -I'd want yours.",0
Must pee.,4
"Y'know, it's even worse when you're twins.",3
You're twins?,5
"Yeah. We don't speak. She's like this high-powered, driven career type.",3
What does she do?,2
She's a waitress.,3
"All right, you guys, I kinda gotta clean up now.",5
"Chandler, you're an only child, right? You don't have any of this.",0
"Well, no, although I did have an imaginary friend, who... my parents actually preferred.",2
"The lights, please..",5
...How long was I in there?,4
I'm just cleaning up.,5
D'ya.. uh.. d'ya need any help?,4
"Uh.. okay, sure! Thanks!",5
"Anyway.. um.. So, you- uh- you nervous about Barry tomorrow?",4
Oh.. a little..,5
Mm-hmm..,4
A lot.,5
Mm.,4
"So, got any advice? Y'know, as someone who's recently been- dumped?",5
"Well, you may wanna steer clear of the word 'dumped'. Chances are he's gonna be this, this broken shell of a man, y'know, so you should try not to look too terrific, I know it'll be hard. Or, y'know, uh, hey!, I'll go down there, and I'll give Barry back his ring, and you can go with Carol and Susan to the OB/GYN...",4
"Oh, you've got Carol tomorrow.. When did it get so complicated?",5
Got me.,4
Remember when we were in high school together?,5
Yeah.,4
"I mean, didn't you think you were just gonna meet somone, fall in love- and that'd be it? ..Ross?",5
"Yes, yes!",4
"Oh! Man, I never thought I'd be here..",5
Me either...,4
"Sorry I'm late, I was stuck at work. There was this big dinosaur.. thing.. anyway.",4
How could I forget?,4
"Hello, Susan. Good shake. Good shake. So, uh, we're just waiting for...?",4
..Dr. Oberman. Okay. And is he-,4
"-she, of course, she- uh- familiar with our.. special situation?",4
"Okay, that's great. No, I'm- Oh.",4
"Quack, quack..",4
Barry?,5
Are you sure?,5
I'm- uh- I'm okay... You look great!,5
I dumped him.,5
"So, um- so how's this, uh, how's this gonna work? Y'know, with us? Y'know, when, like, important decisions have to be made?",4
"Well, uh, uh, I don't know, okay, okay, how about with the, uh, with the baby's name?",4
Marlon?!,4
...As in Mouse?,4
"Still, you- you say Minnie, you hear Mouse. Um, how about, um.. how about Julia?",4
"'S'funny, um, uh, we agreed we'd spend the rest of our lives together. Things change, roll with the punches. I believe Julia's on the table..?",4
"Oh, not much. I-I got a job.",5
Why are- why are you so tanned?,5
Oh no. You went on our honeymoon alone?,5
"Mindy?! My maid of honour, Mindy?!",5
"Oh! Well, um.. You've got plugs!",5
And you've got lenses! But you hate sticking your finger in your eye!,5
Okay..,5
Wow.,5
What?,5
"Anyway, um, I guess this belongs to you. And thank you for giving it to me.",5
Helen Geller? I don't think so.,4
Thank you!,4
"What, it's gonna be Helen Willick?",4
"Well, wait a minute, wha- why is she in the title?",4
"Oh, 's'funny, really? Um, I don't remember you making any sperm.",4
"No no no, she gets a credit, hey, I'm in there too.",4
"Of course not, I'm... suggesting Geller-Willick-Bunch.",4
"My way?! You-you think this is my way? Believe me, of all the ways I ever imagined this moment in my life being, this is not my way- y'know what? Uh, um, this is too hard. I'm not, I can't do-",4
"You- uh- y'know what, I'm gonna go. I don't- I don't think I can be involved in this particular thing right now.",4
Oh my God.,4
Well? Isn't that amazing?,4
What are we supposed to be seeing here?,1
"I dunno, but.. I think it's about to attack the Enterprise.",2
"You know, if you tilt your head to the left, and relax your eyes, it kinda looks like an old potato.",3
"Then don't do that, alright?",4
Okay!,3
Monica. Whaddya think?,4
Mm-hmm.,0
Wh- are you welling up?,4
No.,0
"You are, you're welling up.",4
Am not!,0
You're gonna be an aunt.,4
Oh shut up!,0
"Hi, Mindy. Hi, it-it's Rachel. Yeah, I'm fine. I-I saw Barry today. Oh, yeah, yeah he-he told me. No, no, it's okay. I hope you two are very happy, I really do. Oh, oh, and Mind, y'know, if-if everything works out, and you guys end up getting married and having kids- and everything- I just hope they have his old hairline and your old nose. Okay, I know it was a cheap shot, but I feel so much better now.",5
Hi guys!,3
"Hey. Oh, oh, how'd it go?",4
"Um, not so good. He walked me to the subway and said 'We should do this again!'",3
"What? He said 'we should do it again', that's good, right?",5
"Uh, no. Loosely translated 'We should do this again' means 'You will never see me naked'.",0
Since when?,5
"Since always. It's like dating language. Y'know, like 'It's not you' means 'It is you'.",1
Or 'You're such a nice guy' means 'I'm gonna be dating leather-wearing alcoholics and complaining about them to you'.,2
"Or, or, y'know, um, 'I think we should see other people' means 'Ha, ha, I already am'.",3
And everybody knows this?,5
Yeah. Cushions the blow.,1
"Yeah, it's like when you're a kid, and your parents put your dog to sleep, and they tell you it went off to live on some farm.",2
"That's funny, that, no, because, uh, our parents actually did, uh, send our dog off to live on a farm.",4
"Uh, Ross.",0
"What? Wh- hello? The Millners' farm in Connecticut? The Millners, they had this unbelievable farm, they had horses, and, and rabbits that he could chase and it was- it w- .....Oh my God, Chi Chi!",4
"""So how does it feel knowing you're about to die?""",2
"""Warden, in five minutes my pain will be over. But you'll have to live with the knowledge that you sent an honest man to die.""",1
"Hey, that was really good!",2
Thanks! Let's keep going.,1
"Okay. ""So. Whaddya want from me, Damone, huh?""",2
"""I just wanna go back to my cell. 'Cause in my cell, I can smoke.""",1
"""Smoke away.""",2
I think this is probably why Damone smokes in his cell alone.,2
What?,1
Relax your hand!,2
Not so much!,2
Whoah!,1
Hey!,2
Hey!,1
"Alright, now try taking a puff.",2
Alright.. okay. No. Give it to me.,2
"No no no, I am not giving you a cigarette.",1
"It's fine, it's fine. Look, do you wanna get this part, or not? Here.",2
"Don't think of it as a cigarette. Think of it as the thing that's been missing from your hand. When you're holding it, you feel right. You feel complete.",2
Y'miss it?,1
"Nah, not so much. Alright, now we smoke. Oh.. my.. God.",2
"No, no, no. They say it's the same as the distance from the tip of a guy's thumb to the tip of his index finger.",0
That's ridiculous!,1
Can I use.. either thumb?,4
"Alright, don't tell me, don't tell me! Decaf cappucino for Joey.. Coffee black.. Late.. And an iced tea. I'm getting pretty good at this!",5
Good for me!,5
"Y'okay, Phoebe?",1
"Yeah- no- I'm just- it's, I haven't worked- It's my bank.",3
What did they do to you?,0
"It's nothing, it's just- Okay. I'm going through my mail, and I open up their monthly, you know, STATEMENT-",3
Easy.,4
- and there's five hundred extra dollars in my account.,3
"Oh, Satan's minions at work again...",2
"Yes, 'cause now I have to go down there, and deal with them.",3
What are you talking about? Keep it!,1
"It's not mine, I didn't earn it, if I kept it, it would be like stealing.",3
"Yeah, but if you spent it, it would be like shopping!",5
"Okay. Okay, let's say I bought a really great pair of shoes. Do you know what I'd hear, with every step I took? 'Not-mine. Not-mine. Not-mine.' And even if I was happy, okay, and, and skipping- 'Not-not-mine, not-not-mine, not-not-mine, not-not-mine'...",3
We're with you. We got it.,0
Okay. I'd- just- I'd never be able to enjoy it. It would be like this giant karmic debt.,3
"Chandler, what are you doing?",5
Hey. Whaddya doing?,0
What is this?!,4
"I'm smoking. I'm smoking, I'm smoking.",2
"Oh, I can't believe you! You've been so good, for three years!",3
And this- is my reward!,2
"Hold on a second, alright? Just think about what you went through the last time you quit.",4
"Okay, so this time I won't quit!",2
"All right! I'm putting it out, I'm putting it out.",2
"Oh, no! I- I can't drink this now!",3
"Alright. I'm gonna go change, I've got a date.",0
This Alan again? How's it goin'?,5
"'S'going pretty good, y'know? It's nice, and, we're having fun.",0
So when do we get to meet the guy?,1
"Let's see, today's Monday... Never.",0
No. Not after what happened with Steve.,0
What are you talking about? We love Schhteve! Schhteve was schhexy!.. Sorry.,2
"Look, I don't even know how I feel about him yet. Just give me a chance to figure that out.",0
"Well, then can we meet him?",5
Nope. Schhorry.,0
"I mean, why should I let them meet him? I mean, I bring a guy home, and within five minutes they're all over him. I mean, they're like- coyotes, picking off the weak members of the herd.",0
"I know. I just wish that once, I'd bring a guy home that they actually liked.",0
"Let it go, Ross.",1
"Yeah, well, you didn't know Chi Chi.",4
Do you all promise?,0
Chandler? Do you promise to be good?,0
"You can come in, but your filter-tipped little buddy has to stay outside!",1
"Hey, Pheebs.",4
"'Dear Ms. Buffay. Thank you for calling attention to our error. We have credited your account with five hundred dollars. We're sorry for the inconvenience, and hope you'll accept this- -football phone as our free gift.' Do you believe this?! Now I have a thousand dollars, and a football phone!",3
What bank is this?,5
Hey. It's him. Who is it?,0
Chandler! He's here!,1
"Okay, please be good, please. Just remember how much you all like me.",0
"Hi. Alan, this is everybody. Everybody, this is Alan.",0
"Thanks. I'll call you tomorrow. Okay. Okay, let's let the Alan-bashing begin. Who's gonna take the first shot, hmm?",0
C'mon!,0
"...I'll go. Let's start with the way he kept picking at- no, I'm sorry, I can't do this, can't do this. We loved him.",4
Wait a minute! We're talking about someone that I'm going out with?,0
And did you notice...?,5
Know what was great? The way his smile was kinda crooked.,1
"Yes, yes! Like the man in the shoe!",3
...What shoe?,4
"From the nursery rhyme. 'There was a crooked man, Who had a crooked smile, Who lived in a shoe, For a... while...'",3
...So I think Alan will become the yardstick against which all future boyfriends will be measured.,4
"What future boyfriends? Nono, I th- I think this could be, y'know, it.",5
Really!,0
"Oh, yeah. I'd marry him just for his David Hasselhoff impression alone. You know I'm gonna be doing that at parties, right?",2
"You know what I like most about him, though?",4
The way he makes me feel about myself.,4
Hi.. how was the game?,0
Well..,4
Fantastic! I have one question: How is that possible?,0
Alan.,1
